id	nev	hosszusag	szelesseg
741	Tiszatarján	1260,19	2869,94
742	Hédervár	1047,44	2869,86
743	Demjén	1220,13	2869,85
744	Gelej	1246,6	2869,82
745	Szirák	1171,97	2869,81
746	Domoszló	1206,93	2869,8
747	Jobbágyi	1180,67	2869,79
748	Ásványráró	1049,98	2869,77
749	Gyöngyösoroszi	1193,56	2869,62
750	Kismaros	1140,8	2869,58
751	Mezőkeresztes	1241,4	2869,53
752	Markaz	1203,43	2869,51
753	Verőce	1142,26	2869,5
754	Kisbágyon	1175,12	2869,47
755	Vanyarc	1167,19	2869,46
756	Mezőcsát	1254,5	2869,39
757	Nyírvasvári	1331,25	2869,26
758	Szarvasgede	1178,56	2869,24
759	Ura	1356,04	2869,15
760	Szob	1132,05	2869,11
761	Kimle	1042,2	2869,08
762	Biri	1311,4	2869,04
763	Görbeháza	1274,16	2869,01
764	Hajdúdorog	1289,99	2868,99
765	Nagytálya	1224,69	2868,99
766	Tiborszállás	1344,6	2868,97
767	Gyöngyössolymos	1196,17	2868,89
768	Gyöngyöspata	1187,46	2868,86
769	Csővár	1159,52	2868,82
770	Gyöngyöstarján	1192,08	2868,77
771	Feldebrő	1214,27	2868,75
772	Újrónafő	1032,18	2868,61
773	Érpatak	1305,72	2868,58
774	Kisoroszi	1140,59	2868,51
775	Maklár	1224,8	2868,47
776	Vécs	1210,14	2868,47
777	Mezőkövesd	1234,52	2868,43
778	Csengerújfalu	1357,62	2868,42
779	Folyás	1268,25	2868,4
780	Mezőnagymihály	1243,86	2868,4
781	Kosd	1150,83	2868,26
782	Penc	1155,05	2868,21
783	Szűcsi	1185,94	2868,2
784	Nyírbogát	1323,8	2868,11
785	Abasár	1200,5	2868,04
786	Terem	1336,71	2868,01
787	Zebegény	1134,75	2867,98
788	Újfehértó	1301	2867,94
789	Egyházasdengeleg	1173,46	2867,88
790	Mecsér	1048,61	2867,75
791	Palotás	1175,83	2867,73
792	Acsa	1163,3	2867,71
793	Kerecsend	1220,69	2867,69
794	Dunabogdány	1142,05	2867,6
795	Rád	1153,31	2867,6
796	Apc	1181,7	2867,53
797	Nagymaros	1137,6	2867,44
798	Aldebrő	1213,93	2867,41
799	Esztergom	1124,62	2867,36
800	Tiszakeszi	1259,56	2867,3
801	Jánossomorja	1028,35	2867,25
802	Mérk	1342,64	2867,14
803	Rózsaszentmárton	1184,49	2867,14
804	Visegrád	1138,22	2867,11
805	Pilismarót	1132,54	2867,06
806	Vác	1148,09	2867,03
807	Nyírpilis	1331,49	2866,97
808	Ömböly	1331,49	2866,97
809	Gyöngyös	1195,69	2866,87
810	Visonta	1201,69	2866,73
811	Héhalom	1175,2	2866,63
812	Szentistván	1238,31	2866,6
813	Dunaszentpál	1050,24	2866,58
814	Püspökhatvan	1162,02	2866,55
815	Zagyvaszántó	1180,22	2866,54
816	Tófalu	1214,34	2866,46
817	Erdőkürt	1167,61	2866,43
818	Szihalom	1229,14	2866,37
819	Balkány	1311,49	2866,2
820	Dunaszeg	1052,5	2866,15
821	Piricse	1328,78	2866,13
822	Petőfibánya	1182,14	2865,99
823	Nagyréde	1191,11	2865,96
824	Nagybajcs	1061,27	2865,91
825	Halmajugra	1203,07	2865,9
826	Erdőtarcsa	1172,45	2865,87
827	Dömös	1134,8	2865,8
828	Nyírgelse	1318,68	2865,78
829	Szakoly	1314,08	2865,68
830	Vállaj	1342,7	2865,67
831	Geszteréd	1306,57	2865,63
832	Kápolna	1214,84	2865,57
833	Bátorliget	1336,31	2865,56
834	Nyergesújfalu	1112,74	2865,39
835	Vámosszabadi	1058,87	2865,36
836	Süttő	1106,75	2865,34
837	Győrladamér	1053,81	2865,28
838	Tahitótfalu	1145,49	2865,19
839	Kálló	1169,51	2865
840	Detk	1205,93	2864,98
841	Füzesabony	1225,07	2864,98
842	Lőrinci	1180,76	2864,9
843	Mezőszemere	1231,17	2864,82
844	Vácduka	1152,94	2864,72
845	Kisbajcs	1060,84	2864,71
846	Lábatlan	1109,62	2864,62
847	Gyöngyöshalász	1195,83	2864,59
848	Kompolt	1214,92	2864,56
849	Győrzámoly	1054,9	2864,54
850	Encsencs	1327,05	2864,5
851	Galgagyörk	1162,64	2864,46
852	Komárom	1087,29	2864,42
853	Kunsziget	1051,19	2864,42
854	Püspökszilágy	1159,18	2864,38
855	Kisnémedi	1157,29	2864,37
856	Vének	1065,5	2864,34
857	Tát	1118,62	2864,27
858	Tokodaltáró	1120,51	2864,16
859	Neszmély	1101,52	2864,15
860	Lébény	1043,28	2864,08
861	Nagykökényes	1176,02	2864,06
862	Nyírmihálydi	1318,06	2864,05
863	Dunaalmás	1099,86	2864
864	Gönyű	1069,76	2863,97
865	Ludas	1205,48	2863,96
866	Ecséd	1186,23	2863,93
867	Kál	1215,76	2863,93
868	Sződliget	1149,16	2863,9
869	Karácsond	1201,7	2863,84
870	Ároktő	1256,67	2863,75
871	Mosonszentmiklós	1045,64	2863,71
872	Almásfüzitő	1095,36	2863,68
873	Dorog	1123,92	2863,64
874	Váchartyán	1155,35	2863,6
875	Öttevény	1049,43	2863,51
876	Győrújfalu	1056,39	2863,47
877	Újszentmargita	1266,28	2863,45
878	Mogyorósbánya	1115,84	2863,41
879	Bajót	1113,21	2863,39
880	Felsőpetény	1172,93	2863,39
881	Verseg	1172,93	2863,39
882	Pilisszentlászló	1139,26	2863,38
883	Tárnokréti	1038,57	2863,32
884	Nagyút	1210,48	2863,27
885	Mezőtárkány	1228,67	2863,23
886	Sződ	1150,84	2863,22
887	Egerlövő	1237,15	2863,19
888	Fertőrákos	999,07	2863,19
889	Dormánd	1225,25	2863,18
890	Dobogókő	1134,17	2863,17
891	Egerfarmos	1232,37	2863,16
892	Atkár	1193,49	2863,12
893	Tokod	1119,34	2863,05
894	Leányfalu	1145,08	2863,03
895	Pócsmegyer	1145,84	2863,02
896	Téglás	1300,67	2862,81
897	Ács	1080,94	2862,77
898	Kesztölc	1127,42	2862,75
899	Nagykálló	1306,13	2862,72
900	Nagyszentjános	1072,15	2862,57
901	Vácrátót	1154,16	2862,52
902	Rábcakapi	1036,59	2862,5
903	Heréd	1178,06	2862,49
904	Váckisújfalu	1160,93	2862,34
905	Négyes	1241,11	2862,14
906	Dunaszentmiklós	1102,67	2862,13
907	Borsodivánka	1238,31	2862,01
908	Besenyőtelek	1225,95	2861,99
909	Nyírbéltek	1327,71	2861,89
910	Naszály	1095,43	2861,87
911	Annavölgy	1120,15	2861,85
912	Cakóháza	1037,24	2861,8
913	Abda	1052,65	2861,79
914	Tiszacsege	1259,44	2861,77
915	Göd	1148,23	2861,7
916	Galgamácsa	1163,28	2861,67
917	Nyírlugos	1322,45	2861,67
918	Pilisszentkereszt	1134,18	2861,63
919	Csolnok	1122,95	2861,59
920	Tiszabábolna	1247,71	2861,55
921	Adács	1198,99	2861,53
922	Bősárkány	1035,02	2861,49
923	Nyíradony	1314,43	2861,48
924	Ágfalva	991,03	2861,47
925	Győrsövényház	1042,44	2861,45
926	Hort	1186,89	2861,41
927	Tiszavalk	1243,95	2861,38
928	Győr	1057,97	2861,28
929	Szigetmonostor	1146,36	2861,24
930	Őrbottyán	1157,11	2861,21
931	Erdőtelek	1218,75	2861,2
932	Börcs	1050,08	2861,11
933	Tarnabod	1213,6	2861,06
934	Vámosgyörk	1195,76	2861,06
935	Tiszadorogma	1252,08	2861,03
936	Sopron	994,79	2861,01
937	Szentendre	1143,81	2860,98
938	Markotabödöge	1038,73	2860,96
939	Csém	1085,07	2860,95
940	Nagyfüged	1206,36	2860,93
941	Hajdúhadház	1300,2	2860,91
942	Nagysáp	1115,78	2860,86
943	Szomód	1100,21	2860,85
944	Leányvár	1126,18	2860,83
945	Fehértó	1040,75	2860,58
946	Vácegres	1162,02	2860,56
947	Piliscsév	1129,21	2860,53
948	Tarnazsadány	1209,39	2860,53
949	Acsalag	1031,99	2860,52
950	Bezi	1043,51	2860,48
951	Erdőkertes	1158,82	2860,34
952	Hajdúböszörmény	1290,79	2860,2
953	Sárisáp	1120,6	2860,15
954	Kartal	1171,84	2860,13
955	Pilisszántó	1133,22	2860,11
956	Mocsa	1090,82	2860,06
957	Hatvan	1180,67	2859,99
958	Dág	1123,25	2859,86
959	Maglóca	1036,6	2859,75
960	Iklad	1166,59	2859,71
961	Tardos	1106,7	2859,54
962	Pilisjászfalu	1127,59	2859,41
963	Domony	1166,1	2859,35
964	Ikrény	1051,89	2859,35
965	Tenk	1220,5	2859,34
966	Csomád	1154,2	2859,32
967	Tarnaméra	1209,38	2859,25
968	Kisigmánd	1085,57	2859,16
969	Bőny	1072,17	2859,12
970	Veresegyház	1157,02	2859,11
971	Aszód	1169,26	2859,07
972	Bocskaikert	1299,12	2859,04
973	Bana	1075,19	2858,96
974	Baj	1101,95	2858,95
975	Bajna	1115,62	2858,95
976	Csány	1189,83	2858,88
977	Poroszló	1239,29	2858,77
978	Epöl	1118,52	2858,76
979	Barbacs	1037,75	2858,75
980	Csobánka	1138,1	2858,73
981	Héreg	1110,21	2858,7
982	Bábolna	1078,81	2858,65
983	Tata	1099,94	2858,65
984	Enese	1045,33	2858,62
985	Jászárokszállás	1198,74	2858,6
986	Pomáz	1141,97	2858,59
987	Visznek	1201,87	2858,58
988	Zaránk	1206,41	2858,57
989	Boconád	1211,55	2858,53
990	Tiszanána	1211,55	2858,53
991	Úny	1124,24	2858,47
992	Osli	1024,49	2858,43
993	Nagyigmánd	1084,53	2858,33
994	Penészlek	1329,04	2858,28
995	Fertőboz	1002,1	2858,21
996	Kópháza	998,66	2858,18
997	Szada	1158,73	2858,12
998	Sarród	1011,67	2858,07
999	Bag	1169,02	2858,04
1000	Harka	996,23	2858,04
1001	Piliscsaba	1129,8	2858,02
1002	Dunakeszi	1148,47	2857,97
1003	Kóny	1041,66	2857,92
1004	Rábapatona	1048,96	2857,77
1005	Újlőrincfalva	1236,05	2857,68
1006	Hévízgyörk	1171,3	2857,67
1007	Máriahalom	1122,58	2857,65
1008	Egyek	1253,54	2857,64
1009	Hidegség	1004,52	2857,62
1010	Vértestolna	1107,45	2857,58
1011	Töltéstava	1064,05	2857,51
1012	Budakalász	1143,01	2857,38
1013	Fertőhomok	1006,21	2857,26
1014	Hegykő	1007,82	2857,25
1015	Tinnye	1126,69	2857,25
1016	Galgahévíz	1173,63	2857,19
1017	Fertőd	1013,28	2857,18
1018	Pilisvörösvár	1134,63	2857,15
1019	Vértesszőlős	1102,98	2857,06
1020	Tiszafüred	1245,35	2857,05
1021	Fertőszéplak	1010,15	2857
1022	Fót	1151,53	2856,99
1023	Átány	1221,8	2856,97
1024	Balmazújváros	1280,58	2856,86
1025	Csorna	1035,26	2856,79
1026	Pér	1068,26	2856,78
1027	Pilisszentiván	1133,69	2856,7
1028	Tarján	1110,7	2856,66
1029	Erk	1204,72	2856,61
1030	Agyagosszergény	1016,57	2856,59
1031	Rétalap	1074,39	2856,53
1032	Kocs	1092,83	2856,47
1033	Győrújbarát	1058,89	2856,46
1034	Pilisborosjenő	1139,58	2856,44
1035	Nagycenk	1001,81	2856,41
1036	Tura	1176,12	2856,39
1037	Fertőendréd	1014,64	2856,38
1038	Farád	1032,2	2856,31
1039	Hajdúsámson	1305,85	2856,13
1040	Nyíracsád	1318,47	2856,11
1041	Boldog	1181,49	2856,06
1042	Gödöllő	1161,37	2856,06
1043	Koroncó	1051,71	2856,05
1044	Mérges	1046,74	2856,04
1045	Kömlő	1226,71	2856,03
1046	Veszkény	1025,13	2856,01
1047	Mogyoród	1154,54	2855,98
1048	Petőháza	1013,84	2855,96
1049	Dör	1038,07	2855,91
1050	Fülöp	1323,43	2855,88
1051	Üröm	1140,95	2855,88
1052	Tarnaörs	1203,35	2855,87
1053	Heves	1217,3	2855,77
1054	Jászágó	1191,12	2855,73
1055	Pereszteg	1003,98	2855,62
1056	Fertőszentmiklós	1012,26	2855,61
1057	Szárföld	1027,36	2855,58
1058	Kapuvár	1021,75	2855,57
1059	Szomor	1119,93	2855,56
1060	Gyermely	1118,64	2855,47
1061	Solymár	1135,83	2855,47
1062	Perbál	1125,55	2855,45
1063	Tárkány	1080,17	2855,42
1064	Sarud	1235,69	2855,38
1065	Rábacsécsény	1045,43	2855,3
1066	Rábatamási	1030,31	2855,3
1067	Pinnye	1006,1	2855,25
1068	Vitnyéd	1018,96	2855,24
1069	Nyírmártonfalva	1314,31	2855,18
1070	Jászszentandrás	1210,5	2855,14
1071	Hortobágy	1269,34	2855,12
1072	Bágyogszovát	1042,04	2855,11
1073	Nyúl	1061,29	2855,1
1074	Győrság	1065,12	2854,84
1075	Jobaháza	1031,29	2854,76
1076	Rábaszentmihály	1046,07	2854,69
1077	Csép	1083,82	2854,64
1078	Nagykovácsi	1132,85	2854,53
1079	Babót	1024,78	2854,52
1080	Vácszentlászló	1172,32	2854,45
1081	Pázmándfalu	1067,17	2854,17
1082	Mezőörs	1073	2854,16
1083	Jászfényszaru	1183,44	2854,14
1084	Tatabánya	1104,53	2854,04
1085	Kerepestarcsa	1157	2854
1086	Jászdózsa	1200,97	2853,97
1087	Nagylózs	1006,35	2853,95
1088	Kerepes	1157,02	2853,9
1089	Ebergőc	1008,81	2853,87
1090	Bodonhely	1044,46	2853,85
1091	Valkó	1170,64	2853,8
1092	Tök	1123,96	2853,76
1093	Écs	1062,28	2853,67
1094	Bogyoszló	1031,22	2853,63
1095	Rábapordány	1039,79	2853,6
1096	Pusztamonostor	1187,77	2853,45
1097	Hevesvezekény	1221,6	2853,44
1098	Röjtökmuzsaj	1010,14	2853,4
1099	Budajenő	1128,21	2853,39
1100	Pásztori	1036,42	2853,36
1101	Kisbabot	1044,92	2853,33
1102	Győrszemere	1053,76	2853,11
1103	Potyond	1030,96	2853,03
1104	Pannonhalma	1065,08	2853,02
1105	Hövej	1021,26	2852,99
1106	Telki	1129,72	2852,96
1107	Szákszend	1090,4	2852,87
1108	Kömlőd	1095,7	2852,84
1109	Környe	1100	2852,84
1110	Zsámbék	1123,25	2852,83
1111	Nyírábrány	1321,07	2852,82
1112	Sopronkövesd	1004,51	2852,82
1113	Csömör	1153,76	2852,8
1114	Kistarcsa	1155,85	2852,8
1115	Himod	1022,13	2852,74
1116	Zsámbok	1176,75	2852,56
1117	Nyalka	1068,61	2852,55
1118	Tényő	1058,74	2852,52
1119	Rábaszentmiklós	1045,15	2852,37
1120	Szilsárkány	1035,46	2852,36
1121	Nagyhegyes	1281,03	2852,34
1122	Sopronnémeti	1032,5	2852,28
1123	Isaszeg	1164	2852,19
1124	Tiszaigar	1247,93	2852,17
1125	Mány	1119,52	2851,95
1126	Ete	1084,4	2851,84
1127	Debrecen	1298,23	2851,73
1128	Kisfalud	1025,5	2851,73
1129	Rábacsanak	1037,48	2851,6
1130	Tarnaszentmiklós	1223,1	2851,58
1131	Vámospércs	1314,12	2851,54
1132	Mihályi	1025,63	2851,38
1133	Felpéc	1055,98	2851,36
1134	Csabdi	1116,65	2851,34
1135	Magyarkeresztúr	1029,98	2851,3
1136	Jászivány	1214,8	2851,27
1137	Jászjákóhalma	1199,55	2851,23
1138	Kecskéd	1098,88	2851,23
1139	Dad	1093,61	2851,17
1140	Dány	1172,77	2851,15
1141	Csapod	1015,66	2851,14
1142	Szentlőrinckáta	1185,29	2851,13
1143	Tét	1050,79	2851,12
1144	Szárliget	1109,71	2851,1
1145	Egyed	1040,49	2851,04
1146	Táp	1069,85	2851,03
1147	Páty	1129,69	2850,99
1148	Mórichida	1045,12	2850,9
1149	Budakeszi	1136,03	2850,83
1150	Jászapáti	1208,54	2850,78
1151	Ravazd	1065,16	2850,78
1152	Kerékteleki	1076,33	2850,75
1153	Árpás	1043,86	2850,74
1154	Zsebeháza	1031,49	2850,68
1155	Vértessomló	1102,06	2850,66
1156	Tiszaderzs	1238,76	2850,61
1157	Tiszaörs	1249,47	2850,6
1158	Tóalmás	1179,96	2850,55
1159	Bársonyos	1075,12	2850,53
1160	Jászfelsőszentgyörgy	1187,46	2850,51
1161	Tarjánpuszta	1067,4	2850,35
1162	Császár	1088,59	2850,12
1163	Jászberény	1194,68	2850,09
1164	Lövő	1007,13	2850,01
1165	Vadosfa	1027,74	2849,93
1166	Kisköre	1229,61	2849,9
1167	Szil	1034,14	2849,87
1168	Völcsej	1005,82	2849,87
1169	Gyömöre	1054,08	2849,86
1170	Herceghalom	1124,98	2849,8
1171	Kisbér	1082,2	2849,76
1172	Győrasszonyfa	1068,63	2849,74
1173	Óbarok	1113,99	2849,69
1174	Tápszentmiklós	1071,22	2849,68
1175	Kajárpéc	1058,08	2849,56
1176	Sokorópátka	1061,71	2849,51
1177	Gyóró	1021,38	2849,5
1178	Bokod	1095,17	2849,47
1179	Pély	1220,65	2849,42
1180	Und	1001,75	2849,35
1181	Bicske	1118,06	2849,34
1182	Tiszaszentimre	1243,54	2849,29
1183	Pécel	1160,66	2849,26
1184	Oroszlány	1098,92	2849,2
1185	Vérteskethely	1085,01	2849,19
1186	Nagyiván	1255,83	2849,16
1187	Pusztacsalád	1014,24	2849,15
1188	Kóka	1174,92	2849,13
1189	Nemeskér	1008,26	2849,05
1190	Sopronhorpács	1004,16	2849,01
1191	Jásztelek	1200,08	2848,99
1192	Budapest	1149,56	2848,95
1193	Újbarok	1113,62	2848,77
1194	Nagytarcsa	1156,39	2848,75
1195	Cirák	1021,79	2848,72
1196	Sobor	1042,48	2848,65
1197	Szár	1111,18	2848,59
1198	Páli	1030,16	2848,54
1199	Várgesztes	1103,91	2848,52
1200	Abádszalók	1235,94	2848,48
1201	Bakonyszombathely	1077,71	2848,29
1202	Biatorbágy	1129,13	2848,28
1203	Ebes	1289,45	2848,27
1204	Csikvánd	1047,27	2848,13
1205	Beled	1025,8	2847,99
1206	Bakonypéterd	1067,83	2847,91
1207	Bakonybánk	1074,23	2847,87
1208	Lázi	1070,11	2847,87
1209	Egyházasfalu	1006,07	2847,83
1210	Szany	1038,19	2847,83
1211	Szerecseny	1053,15	2847,79
1212	Újléta	1312,45	2847,75
1213	Gyarmat	1049,72	2847,73
1214	Rábaszentandrás	1039,8	2847,59
1215	Újkér	1009,21	2847,58
1216	Budaörs	1137,75	2847,53
1217	Jászkisér	1213,03	2847,49
1218	Felcsút	1115,38	2847,41
1219	Dénesfa	1021,96	2847,36
1220	Zsira	1000,94	2847,34
1221	Edve	1028,23	2847,33
1222	Vásárosfalu	1027,12	2847,26
1223	Bodmér	1112,24	2847,03
1224	Sülysáp	1172,29	2847,02
1225	Bagamér	1319,62	2847
1226	Malomsok	1043,4	2847
1227	Tápiószecső	1176,56	2846,97
1228	Bakonysárkány	1086,21	2846,87
1229	Tiszabura	1227,65	2846,86
1230	Vág	1032,72	2846,86
1231	Gecse	1051,73	2846,81
1232	Etyek	1125,01	2846,77
1233	Szentmártonkáta	1181,57	2846,73
1234	Maglód	1161,12	2846,66
1235	Hajdúszoboszló	1284,05	2846,63
1236	Iván	1014,61	2846,61
1237	Gyalóka	1001,9	2846,6
1238	Ecser	1159,21	2846,49
1239	Répcevis	1000,47	2846,47
1240	Rábasebes	1034,62	2846,46
1241	Mikepércs	1298,24	2846,45
1242	Nagydém	1060,44	2846,39
1243	Lovászpatona	1057,58	2846,1
1244	Sikátor	1071,11	2846,1
1245	Törökbálint	1134,94	2846,03
1246	Mende	1167,64	2846,02
1247	Rábakecöl	1026,92	2846,01
1248	Tomajmonostora	1242,32	2846
1249	Marcaltő	1041,96	2845,98
1250	Gic	1065,16	2845,95
1251	Tormásliget	1006,18	2845,93
1252	Csánig	1021,62	2845,87
1253	Pusztavám	1093,69	2845,82
1254	Várkesző	1038,96	2845,79
1255	Vértesboglár	1111,49	2845,78
1256	Simaság	1010,44	2845,71
1257	Alcsútdoboz	1116,25	2845,69
1258	Réde	1074,96	2845,67
1259	Nádudvar	1269,85	2845,62
1260	Alattyán	1202,65	2845,61
1261	Kunmadaras	1247,92	2845,61
1262	Répceszemere	1018,48	2845,61
1263	Veszprémvarsány	1069,77	2845,61
1264	Kemenesszentpéter	1033,95	2845,6
1265	Szakony	1002,95	2845,6
1266	Gyömrő	1163,82	2845,59
1267	Iklanberény	1008,35	2845,53
1268	Peresznye	999,15	2845,48
1269	Répcelak	1021,05	2845,27
1270	Bakonygyirót	1068,22	2845,06
1271	Csér	1015,93	2845,06
1272	Egyházaskesző	1039,86	2845
1273	Csáfordjánosfa	1017,06	2844,93
1274	Úri	1171,55	2844,92
1275	Álmosd	1318,81	2844,9
1276	Ólmod	995,4	2844,86
1277	Pápoc	1028,11	2844,8
1278	Nagykáta	1184,54	2844,78
1279	Horvátzsidány	997,52	2844,72
1280	Bakonytamási	1063,92	2844,65
1281	Kiszsidány	998,41	2844,62
1282	Diósd	1137,02	2844,57
1283	Vecsés	1155,77	2844,41
1284	Ácsteszér	1080,22	2844,4
1285	Kokad	1316,01	2844,39
1286	Sáránd	1297,8	2844,36
1287	Sóskút	1129,85	2844,33
1288	Vaszar	1050,71	2844,3
1289	Aka	1084,29	2844,28
1290	Pusztazámor	1127,09	2844,25
1291	Lócs	1008,71	2844,23
1292	Sajtoskál	1011,29	2844,22
1293	Csepreg	1002,66	2844,16
1294	Nick	1021,2	2844,16
1295	Nemesládony	1013,32	2844,1
1296	Tápióság	1177,77	2844,1
1297	Tabajd	1118,14	2844,07
1298	Bakonyság	1059,05	2844
1299	Takácsi	1048,16	2843,98
1300	Monostorpályi	1306,61	2843,85
1301	Nemesgörzsöny	1041,82	2843,8
1302	Tiszaroff	1226,49	2843,76
1303	Csákvár	1108,17	2843,73
1304	Érd	1134,62	2843,73
1305	Nagygeresd	1015,73	2843,68
1306	Hajdúbagos	1299,97	2843,61
1307	Hosszúpályi	1303,9	2843,6
1308	Hajdúszovát	1288,45	2843,48
1309	Gánt	1103,26	2843,47
1310	Vámoscsalád	1018,08	2843,47
1311	Kőszeg	992,91	2843,43
1312	Bakonyszentiván	1060,17	2843,39
1313	Bakonyszentlászló	1068,05	2843,33
1314	Péteri	1164,5	2843,29
1315	Tiszasüly	1223,51	2843,28
1316	Bük	1005,16	2843,23
1317	Üllő	1160,82	2843,15
1318	Gyál	1153,18	2843,14
1319	Kenyeri	1025,53	2843,06
1320	Létavértes	1312,97	2843
1321	Vanyola	1055,77	2842,98
1322	Berekfürdő	1250,2	2842,94
1323	Tiszagyenda	1230,59	2842,94
1324	Jánoshida	1203,69	2842,92
1325	Pápateszér	1062,09	2842,92
1326	Tompaládony	1012,94	2842,83
1327	Csatka	1078,58	2842,61
1328	Mór	1092,71	2842,5
1329	Tárnok	1130,79	2842,46
1330	Magyargencs	1037,58	2842,45
1331	Vasegerszeg	1015,38	2842,45
1332	Vértesacsa	1114,78	2842,45
1333	Mesterháza	1011,75	2842,44
1334	Jászalsószentgyörgy	1205,84	2842,31
1335	Uraiújfalu	1019,05	2842,27
1336	Gomba	1171,87	2842,24
1337	Gyúró	1124,32	2842,24
1338	Jászboldogháza	1200,14	2842,13
1339	Bő	1008,96	2842,1
1340	Kunhegyes	1237,9	2842,05
1341	Jászladány	1210,04	2841,98
1342	Súr	1081,73	2841,98
1343	Nagyacsád	1042,34	2841,95
1344	Tömörd	1000,62	2841,89
1345	Vál	1120,54	2841,81
1346	Bakonyszentkirály	1072,89	2841,8
1347	Halásztelek	1138,83	2841,73
1348	Chernelházadamonya	1010,31	2841,7
1349	Tápióbicske	1181,37	2841,69
1350	Nagyveleg	1086,62	2841,68
1351	Farmos	1190,9	2841,66
1352	Csót	1056,21	2841,63
1353	Gór	1008,15	2841,53
1354	Kaba	1276,5	2841,45
1355	Cák	990,98	2841,44
1356	Dunaharaszti	1145,83	2841,33
1357	Káva	1175,38	2841,31
1358	Bénye	1172,66	2841,3
1359	Csókakő	1096,37	2841,29
1360	Kemeneshőgyész	1037,81	2841,27
1361	Csesznek	1073,19	2841,18
1362	Hegyfalu	1013,11	2841,16
1363	Derecske	1293,87	2841,13
1364	Csákberény	1099,67	2841,11
1365	Csönge	1023,94	2841,08
1366	Pánd	1178,23	2841,07
1367	Répceszentgyörgy	1010,88	2841,05
1368	Fenyőfő	1066,02	2841,04
1369	Nemescsó	997,03	2841,02
1370	Monor	1166,86	2841
1371	Kőszegdoroszló	992,6	2840,75
1372	Velem	989,48	2840,75
1373	Jákfa	1017,44	2840,72
1374	Tordas	1125,04	2840,71
1375	Bakonyoszlop	1075,46	2840,7
1376	Béb	1056,05	2840,68
1377	Bakonyszücs	1060,96	2840,61
1378	Zsédeny	1014,33	2840,56
1379	Felsőpakony	1154,32	2840,55
1380	Kőszegszerdahely	991,09	2840,48
1381	Nagygyimót	1053,04	2840,43
1382	Szigetszentmiklós	1142,48	2840,38
1383	Tápiószentmárton	1184,96	2840,31
1384	Lukácsháza	994,87	2840,26
1385	Tápiógyörgye	1197,02	2840,2
1386	Kőtelek	1226,64	2840,19
1387	Pusztacsó	1020,31	2840,11
1388	Tápiószele	1192,9	2840,03
1389	Békás	1041,15	2840
1390	Kemenesmagasi	1032,54	2839,96
1391	Meszlen	1002,1	2839,87
1392	Mezőlak	1042,24	2839,87
1393	Szergény	1036,19	2839,86
1394	Bakonykoppány	1061,23	2839,83
1395	Pósfa	1011,3	2839,77
1396	Bozsok	989,54	2839,73
1397	Taksony	1144,14	2839,73
1398	Ostffyasszonyfa	1022,64	2839,72
1399	Pápa	1048,22	2839,69
1400	Acsád	1004,02	2839,64
1401	Kajászó	1123,18	2839,64
1402	Kőszegpaty	999,06	2839,64
1403	Vasad	1164,16	2839,45
1404	Bakonycsernye	1085,67	2839,39
1405	Söréd	1096,78	2839,37
1406	Bodajk	1093,93	2839,32
1407	Szigethalom	1140,6	2839,28
1408	Tépe	1294,37	2839,2
1409	Vereb	1117,21	2839,18
1410	Konyár	1300,26	2839,17
1411	Szápár	1082,35	2839,14
1412	Tököl	1138,12	2839,14
1413	Ugod	1056,13	2839,1
1414	Martonvásár	1127,55	2839,09
1415	Szászberek	1206,28	2839,01
1416	Zámoly	1104,64	2839
1417	Csetény	1080,01	2838,97
1418	Gyöngyösfalu	995,31	2838,97
1419	Alsónémedi	1149,72	2838,89
1420	Tetétlen	1278,45	2838,87
1421	Balinka	1091,54	2838,79
1422	Vönöck	1029,5	2838,79
1423	Marcalgergelyi	1036,17	2838,75
1424	Hunyadfalva	1222,28	2838,73
1425	Dudar	1076,76	2838,67
1426	Szeleste	1009,83	2838,67
1427	Porva	1068,94	2838,65
1428	Vasasszonyfa	1000,3	2838,64
1429	Tiszabő	1229,47	2838,58
1430	Vinár	1037,01	2838,56
1431	Mihályháza	1040,34	2838,48
1432	Rábapaty	1015,83	2838,35
1433	Százhalombatta	1134,79	2838,3
1434	Adásztevel	1052,47	2838,26
1435	Homokbödöge	1055,66	2838,16
1436	Vasszilvágy	1005,23	2838,14
1437	Ölbő	1011,79	2838,01
1438	Salköveskút	1001,72	2837,9
1439	Tápiószőlős	1190,64	2837,9
1440	Besenyszög	1215,7	2837,89
1441	Ócsa	1153,95	2837,84
1442	Külsővat	1033,41	2837,83
1443	Kemenesszentmárton	1029,77	2837,77
1444	Csévharaszt	1165,67	2837,76
1445	Újszász	1204,68	2837,73
1446	Nagytevel	1054,32	2837,71
1447	Pápadereske	1044,08	2837,62
1448	Borzavár	1070,14	2837,59
1449	Perenye	994,58	2837,59
1450	Kemenessömjén	1027,91	2837,56
1451	Magyaralmás	1099,59	2837,45
1452	Székesfehérvár	1099,59	2837,45
1453	Mersevát	1032,24	2837,43
1454	Fehérvárcsurgó	1096,44	2837,41
1455	Földes	1282,11	2837,36
1456	Pázmánd	1119,23	2837,34
1457	Jásd	1081,47	2837,33
1458	Dáka	1045,49	2837,2
1459	Kemenesmihályfa	1026,8	2837,15
1460	Gencsapáti	996,04	2837,08
1461	Pilis	1172,73	2837,05
1462	Pocsaj	1309,06	2837,05
